,NAM_C1,NAM_C2,P.value
MS4A4A,5,7,0.57017919328921
MUC6,7,5,0.772093741572191
MYO9B,7,5,0.772093741572191
NEO1,9,3,0.141894011877879
NEU4,6,6,1
NFAT5,8,4,0.382739806658588
NFATC2,5,7,0.57017919328921
NIPAL4,6,6,1
NOS1AP,6,6,1
NPSR1,3,9,0.0834403290154671
NPY1R,7,5,0.772093741572191
NR1H4,4,8,0.253375098684398
NUF2,5,7,0.57017919328921
NXF3,6,6,1
NXPE1,5,7,0.57017919328921
NYAP2,4,8,0.253375098684398
OPLAH,5,7,0.57017919328921
OPN4,9,3,0.141894011877879
OR10G4,5,7,0.57017919328921
OR10T2,4,8,0.253375098684398
OR13C5,6,6,1
OR14I1,7,5,0.772093741572191
OR2A14,7,5,0.772093741572191
OR2A5,5,7,0.57017919328921
OR2D2,6,6,1
OR2H1,9,3,0.141894011877879
OR2J2,4,8,0.253375098684398
OR2T10,5,7,0.57017919328921
OR4D10,5,7,0.57017919328921
OR4D5,2,10,0.0189973301406133
OR4K15,4,8,0.253375098684398
OR51M1,6,6,1
OR51Q1,5,7,0.57017919328921
OR52K1,7,5,0.772093741572191
OR56A1,5,7,0.57017919328921
OR56A3,8,4,0.382739806658588
OR5B2,8,4,0.382739806658588
OR5B21,4,8,0.253375098684398
OR7D4,9,3,0.141894011877879
OR8G5,5,7,0.57017919328921
OR9G4,5,7,0.57017919328921
PADI3,7,5,0.772093741572191
PAMR1,7,5,0.772093741572191
PAX4,8,4,0.382739806658588
PCDHGA10,5,7,0.57017919328921
PCDHGA12,6,6,1
PDE4B,4,8,0.253375098684398
PIGG,8,4,0.382739806658588
PIKFYVE,5,7,0.57017919328921
PKD2L1,7,5,0.772093741572191
PKNOX2,5,7,0.57017919328921
PKP1,6,6,1
PLA2R1,7,5,0.772093741572191
PLXDC2,6,6,1
PLXNA1,4,8,0.253375098684398
POLR2A,8,4,0.382739806658588
PPL,5,7,0.57017919328921
PPP2R1A,5,7,0.57017919328921
PRAMEF12,6,6,1
PRAMEF19,8,4,0.382739806658588
PRDM10,3,9,0.0834403290154671
PRKCI,4,8,0.253375098684398
PRKG2,8,4,0.382739806658588
PROKR1,8,4,0.382739806658588
PRSS38,1,11,0.00265189620961107
PRSS55,5,7,0.57017919328921
PSG3,3,9,0.0834403290154671
PTK7,5,7,0.57017919328921
PTPN4,8,4,0.382739806658588
PTPRF,1,11,0.00265189620961107
PTPRJ,6,6,1
PTPRM,4,8,0.253375098684398
RALGAPA2,6,6,1
RAPGEF4,7,5,0.772093741572191
RPS6KA6,4,8,0.253375098684398
SAMSN1,6,6,1
SASH1,4,8,0.253375098684398
SEC16B,2,10,0.0189973301406133
SEMA6B,7,5,0.772093741572191
SERPINA5,6,6,1
SFMBT2,5,7,0.57017919328921
SFSWAP,4,8,0.253375098684398
SHROOM2,7,5,0.772093741572191
SIGLEC9,5,7,0.57017919328921
SLC18A1,5,7,0.57017919328921
SLC22A25,1,11,0.00265189620961107
SLC5A4,8,4,0.382739806658588
SLC5A8,8,4,0.382739806658588
SLC6A2,7,5,0.772093741572191
SLC8A2,6,6,1
SLC9A2,6,6,1
SLC9A6,5,7,0.57017919328921
SNCAIP,6,6,1
SOWAHB,8,4,0.382739806658588
SPATA5,4,8,0.253375098684398
SPATC1,6,6,1
STARD8,6,6,1
STK11IP,7,5,0.772093741572191
SUCO,3,9,0.0834403290154671
SULF1,5,7,0.57017919328921
TAB3,5,7,0.57017919328921
TAF4,4,8,0.253375098684398
TBX20,6,6,1
TBXAS1,6,6,1
TDRD1,3,9,0.0834403290154671
TECPR1,3,9,0.0834403290154671
TF,5,7,0.57017919328921
THEMIS,7,5,0.772093741572191
THSD1,5,7,0.57017919328921
TLN1,3,9,0.0834403290154671
TMPRSS11B,7,5,0.772093741572191
TMTC2,1,11,0.00265189620961107
TOPORS,4,8,0.253375098684398
TRAF3IP3,5,7,0.57017919328921
TRBV3-1,5,7,0.57017919328921
TRHR,5,7,0.57017919328921
TTC12,4,8,0.253375098684398
TULP4,6,6,1
UACA,5,7,0.57017919328921
UBQLN3,6,6,1
UBR1,4,8,0.253375098684398
UBTFL1,3,9,0.0834403290154671
UGT2B15,2,10,0.0189973301406133
UGT3A2,2,10,0.0189973301406133
ULK4,5,7,0.57017919328921
UNC5A,4,8,0.253375098684398
USP28,4,8,0.253375098684398
USP31,6,6,1
VWA3A,7,5,0.772093741572191
WAPAL,5,7,0.57017919328921
WDR36,2,10,0.0189973301406133
WISP1,6,6,1
XKR3,9,3,0.141894011877879
XPNPEP2,7,5,0.772093741572191
ZC3H12B,6,6,1
ZFAT,3,9,0.0834403290154671
ZFP36L1,9,3,0.141894011877879
ZFP42,8,4,0.382739806658588
ZFP57,6,6,1
ZNF148,6,6,1
ZNF285,5,7,0.57017919328921
ZNF445,7,5,0.772093741572191
ZNF585B,6,6,1
ZNF611,7,5,0.772093741572191
ZNF658,6,6,1
ZNF667,6,6,1
ZNF695,8,4,0.382739806658588
ZPBP,6,6,1
ZSCAN18,3,9,0.0834403290154671
ZSCAN5B,7,5,0.772093741572191
AACS,4,7,0.374596412438554
ABCB7,4,7,0.374596412438554
ACSM1,7,4,0.544970612872589
ACSS3,4,7,0.374596412438554
ADARB2,1,10,0.00510823167235577
ADCY9,7,4,0.544970612872589
AGO2,7,4,0.544970612872589
AIFM1,5,6,0.76826338428769
AKNA,7,4,0.544970612872589
AKR1B15,5,6,0.76826338428769
ALOX5,5,6,0.76826338428769
ANGPT1,5,6,0.76826338428769
ANGPT4,4,7,0.374596412438554
ANKAR,4,7,0.374596412438554
ANKRD27,4,7,0.374596412438554
ANLN,5,6,0.76826338428769
ANO6,6,5,1
APAF1,3,8,0.13521411199991
APOA5,4,7,0.374596412438554
ARHGAP11A,7,4,0.544970612872589
ARHGAP15,4,7,0.374596412438554
ARHGAP33,6,5,1
ARHGAP4,6,5,1
ARSG,5,6,0.76826338428769
ASIC2,4,7,0.374596412438554
ASMT,4,7,0.374596412438554
ASXL1,5,6,0.76826338428769
ATP13A4,5,6,0.76826338428769
ATP8B3,3,8,0.13521411199991
ATXN2,2,9,0.0336346104676706
BAHCC1,6,5,1
BCAS3,5,6,0.76826338428769
BCR,7,4,0.544970612872589
BEND6,6,5,1
BIRC8,8,3,0.222175943471449
BTNL8,6,5,1
BTRC,5,6,0.76826338428769
BUB1B,4,7,0.374596412438554
C10orf120,4,7,0.374596412438554
C11orf30,5,6,0.76826338428769
C1QB,6,5,1
C3,5,6,0.76826338428769
C6orf222,5,6,0.76826338428769
C9orf3,3,8,0.13521411199991
CADM3,5,6,0.76826338428769
CALB2,6,5,1
CALD1,6,5,1
CAMK4,7,4,0.544970612872589
CAMSAP1,2,9,0.0336346104676706
CASP2,5,6,0.76826338428769
CASP8AP2,5,6,0.76826338428769
CCDC144A,4,7,0.374596412438554
CCDC170,3,8,0.13521411199991
CCIN,6,5,1
CD1A,6,5,1
CD226,6,5,1
CD6,5,6,0.76826338428769
CDHR3,5,6,0.76826338428769
CDK5RAP2,5,6,0.76826338428769
CELF4,4,7,0.374596412438554
CEP250,4,7,0.374596412438554
CHAF1A,4,7,0.374596412438554
CHD3,5,6,0.76826338428769
CHRNB4,10,1,0.0110021092389807
CKAP2L,6,5,1
CNGA3,8,3,0.222175943471449
COL4A3,4,7,0.374596412438554
CRISP2,3,8,0.13521411199991
CRNKL1,2,9,0.0336346104676706
CSNK1A1L,4,7,0.374596412438554
CSRNP3,7,4,0.544970612872589
CSRP2BP,5,6,0.76826338428769
CYBB,8,3,0.222175943471449
CYFIP2,4,7,0.374596412438554
CYP2C19,7,4,0.544970612872589
CYP4F3,4,7,0.374596412438554
CYP4F8,4,7,0.374596412438554
DAPK1,4,7,0.374596412438554
DBX2,3,8,0.13521411199991
DDIAS,4,7,0.374596412438554
DDX50,5,6,0.76826338428769
DENND1A,7,4,0.544970612872589
DGKH,4,7,0.374596412438554
DHX34,5,6,0.76826338428769
DHX57,6,5,1
DIP2A,4,7,0.374596412438554
DMP1,2,9,0.0336346104676706
DMXL2,5,6,0.76826338428769
DNHD1,5,6,0.76826338428769
DOCK8,5,6,0.76826338428769
DOT1L,3,8,0.13521411199991
DSG2,5,6,0.76826338428769
EBF2,4,7,0.374596412438554
ECE2,6,5,1
EHD3,4,7,0.374596412438554
EIF4ENIF1,5,6,0.76826338428769
EIF5B,3,8,0.13521411199991
ELAVL2,6,5,1
ELF1,4,7,0.374596412438554
ENOX2,5,6,0.76826338428769
EPHB3,4,7,0.374596412438554
ERBB3,2,9,0.0336346104676706
ERC1,3,8,0.13521411199991
ESR1,5,6,0.76826338428769
ESRRB,5,6,0.76826338428769
EVI5,4,7,0.374596412438554
EXO1,7,4,0.544970612872589
FAM13C,7,4,0.544970612872589
FAM65C,3,8,0.13521411199991
FBXO38,5,6,0.76826338428769
FKBP6,6,5,1
FMO3,6,5,1
FMR1,3,8,0.13521411199991
FOXD4L5,3,8,0.13521411199991
FSCN3,4,7,0.374596412438554
GABBR2,6,5,1
GABRR1,8,3,0.222175943471449
GLRA4,9,2,0.062982725099836
GLYAT,6,5,1
GOLGA4,6,5,1
GPC5,5,6,0.76826338428769
GPR142,3,8,0.13521411199991
GPR83,5,6,0.76826338428769
GPRC5B,4,7,0.374596412438554
GPRIN1,6,5,1
GUCY2C,4,7,0.374596412438554
HADHB,6,5,1
HAVCR1,3,8,0.13521411199991
HEG1,7,4,0.544970612872589
HELB,6,5,1
HIPK1,8,3,0.222175943471449
HOXB1,8,3,0.222175943471449
HOXD3,4,7,0.374596412438554
HS3ST4,4,7,0.374596412438554
HSPA8,8,3,0.222175943471449
HTR3B,8,3,0.222175943471449
IGSF8,5,6,0.76826338428769
IL12RB2,7,4,0.544970612872589
IL18R1,5,6,0.76826338428769
INPPL1,5,6,0.76826338428769
IQSEC2,6,5,1
IQUB,5,6,0.76826338428769
ISL1,7,4,0.544970612872589
JPH3,4,7,0.374596412438554
KAT6B,6,5,1
KCNA6,6,5,1
KCND3,4,7,0.374596412438554
KCNF1,6,5,1
KCTD16,6,5,1
KDM5A,4,7,0.374596412438554
KIAA0430,4,7,0.374596412438554
KIAA1024,6,5,1
KIAA1614,5,6,0.76826338428769
KIF16B,6,5,1
KIF20B,5,6,0.76826338428769
KIR3DL2,3,8,0.13521411199991
KRT25,5,6,0.76826338428769
KRT3,5,6,0.76826338428769
KSR2,3,8,0.13521411199991
LMBRD2,4,7,0.374596412438554
LPPR5,5,6,0.76826338428769
LRRC37B,8,3,0.222175943471449
MAGED2,4,7,0.374596412438554
MAPT,6,5,1
MARCH6,4,7,0.374596412438554
MAST1,4,7,0.374596412438554
MB21D2,5,6,0.76826338428769
MCM10,3,8,0.13521411199991
MCM6,8,3,0.222175943471449
MDGA1,6,5,1
MED23,7,4,0.544970612872589
MGAT5,6,5,1
MICAL2,3,8,0.13521411199991
MLIP,6,5,1
MME,3,8,0.13521411199991
MRE11A,5,6,0.76826338428769
MRGPRX4,6,5,1
MTMR4,5,6,0.76826338428769
MYEF2,4,7,0.374596412438554
MYO1H,7,4,0.544970612872589
NAV1,6,5,1
NCKAP1,3,8,0.13521411199991
NCOA3,5,6,0.76826338428769
NCSTN,5,6,0.76826338428769
NDST3,4,7,0.374596412438554
NFATC3,7,4,0.544970612872589
NKX2-2,3,8,0.13521411199991
NR0B1,7,4,0.544970612872589
NT5C1B,4,7,0.374596412438554
NTRK1,6,5,1
NUP133,7,4,0.544970612872589
NUP153,3,8,0.13521411199991
OAS2,5,6,0.76826338428769
OPRL1,7,4,0.544970612872589
OR10A4,7,4,0.544970612872589
OR10G2,5,6,0.76826338428769
OR10G9,5,6,0.76826338428769
OR13A1,4,7,0.374596412438554
OR1N2,5,6,0.76826338428769
OR1Q1,4,7,0.374596412438554
OR51F1,2,9,0.0336346104676706
OR5M10,5,6,0.76826338428769
OR5M11,2,9,0.0336346104676706
OR6B1,5,6,0.76826338428769
OR8B12,2,9,0.0336346104676706
OSBPL1A,5,6,0.76826338428769
P2RX5,6,5,1
PADI1,7,4,0.544970612872589
PBRM1,8,3,0.222175943471449
PCDHGB7,6,5,1
PCDHGC4,6,5,1
PCNXL3,5,6,0.76826338428769
PCOLCE2,2,9,0.0336346104676706
PCSK2,4,7,0.374596412438554
PDE3B,5,6,0.76826338428769
PDE6B,6,5,1
PDYN,7,4,0.544970612872589
PGBD2,6,5,1
PHF8,6,5,1
PHLPP2,6,5,1
PI4KA,4,7,0.374596412438554
PI4KB,3,8,0.13521411199991
PKD2,5,6,0.76826338428769
PLCH2,4,7,0.374596412438554
PLD5,6,5,1
PLEKHA6,6,5,1
PNLIPRP3,5,6,0.76826338428769
PPAPDC1A,2,9,0.0336346104676706
PRAME,6,5,1
PRAMEF2,6,5,1
PRSS36,3,8,0.13521411199991
PRSS58,5,6,0.76826338428769
PTGER3,5,6,0.76826338428769
PTGIS,7,4,0.544970612872589
PTPRS,5,6,0.76826338428769
QSER1,6,5,1
RABEP2,2,9,0.0336346104676706
RAD54L2,7,4,0.544970612872589
RALYL,5,6,0.76826338428769
RASA3,5,6,0.76826338428769
RBM15,6,5,1
RDH8,7,4,0.544970612872589
RGS1,9,2,0.062982725099836
RNF133,4,7,0.374596412438554
RNF165,8,3,0.222175943471449
RPH3A,4,7,0.374596412438554
RPS6KC1,5,6,0.76826338428769
RSPO1,5,6,0.76826338428769
RTP2,4,7,0.374596412438554
RXFP3,7,4,0.544970612872589
SBNO1,4,7,0.374596412438554
SCML2,7,4,0.544970612872589
SCYL2,7,4,0.544970612872589
SEC24D,6,5,1
SECISBP2L,4,7,0.374596412438554
SEMA3E,8,3,0.222175943471449
SERPINB11,6,5,1
SERPINB2,2,9,0.0336346104676706
SERPINB7,4,7,0.374596412438554
SERPINI2,7,4,0.544970612872589
SETD1A,4,7,0.374596412438554
SEZ6,6,5,1
SF3B2,6,5,1
SIGLEC6,5,6,0.76826338428769
SIN3A,4,7,0.374596412438554
SLC22A6,4,7,0.374596412438554
SLC22A7,8,3,0.222175943471449
SLC24A4,4,7,0.374596412438554
SLC24A5,3,8,0.13521411199991
SLC25A13,3,8,0.13521411199991
SLC34A1,5,6,0.76826338428769
SLC3A1,6,5,1
SLC4A5,8,3,0.222175943471449
SLC6A17,8,3,0.222175943471449
SLC6A19,5,6,0.76826338428769
SLCO1B3,4,7,0.374596412438554
SMARCAD1,5,6,0.76826338428769
SMCHD1,6,5,1
SMG8,5,6,0.76826338428769
SMOC1,5,6,0.76826338428769
SMYD3,4,7,0.374596412438554
SOGA3,5,6,0.76826338428769
SOS1,5,6,0.76826338428769
SPAG6,4,7,0.374596412438554
SPAG9,5,6,0.76826338428769
SPATA16,3,8,0.13521411199991
SPATA17,6,5,1
SPG11,3,8,0.13521411199991
SPPL2C,6,5,1
ST8SIA3,4,7,0.374596412438554
SV2B,4,7,0.374596412438554
SYCP2L,4,7,0.374596412438554
SYMPK,1,10,0.00510823167235577
SYT14,4,7,0.374596412438554
TANC2,6,5,1
TBC1D31,7,4,0.544970612872589
TET2,3,8,0.13521411199991
TGFBRAP1,3,8,0.13521411199991
THADA,5,6,0.76826338428769
THNSL2,7,4,0.544970612872589
TIE1,4,7,0.374596412438554
TIGD3,4,7,0.374596412438554
TJP1,5,6,0.76826338428769
TLR10,6,5,1
TMEM145,6,5,1
TMEM168,5,6,0.76826338428769
TNKS1BP1,7,4,0.544970612872589
TP53BP1,5,6,0.76826338428769
TPK1,7,4,0.544970612872589
TRAPPC9,2,9,0.0336346104676706
TRBV4-2,6,5,1
TRIM3,4,7,0.374596412438554
TRIP11,6,5,1
TRPM5,5,6,0.76826338428769
TRPV3,7,4,0.544970612872589
TSC2,4,7,0.374596412438554
TSHZ1,6,5,1
TSKS,3,8,0.13521411199991
TTC14,3,8,0.13521411199991
TTC3,5,6,0.76826338428769
UBE3A,5,6,0.76826338428769
UBR2,2,9,0.0336346104676706
UCK2,5,6,0.76826338428769
UGT2B17,8,3,0.222175943471449
UHRF1BP1L,7,4,0.544970612872589
UMODL1,4,7,0.374596412438554
UNC80,5,6,0.76826338428769
UROC1,4,7,0.374596412438554
USP8,3,8,0.13521411199991
VNN2,6,5,1
VPS16,5,6,0.76826338428769
VSTM2A,5,6,0.76826338428769
VWA8,5,6,0.76826338428769
VWC2,4,7,0.374596412438554
WAC,7,4,0.544970612872589
WASF3,4,7,0.374596412438554
WWP1,3,8,0.13521411199991
XKR6,4,7,0.374596412438554
YEATS2,4,7,0.374596412438554
ZBTB20,3,8,0.13521411199991
ZC3H12C,5,6,0.76826338428769
ZC3H3,4,7,0.374596412438554
ZNF160,4,7,0.374596412438554
ZNF287,7,4,0.544970612872589
ZNF335,6,5,1
ZNF33B,6,5,1
ZNF366,7,4,0.544970612872589
ZNF41,3,8,0.13521411199991
ZNF454,8,3,0.222175943471449
ZNF484,7,4,0.544970612872589
ZNF534,9,2,0.062982725099836
ZNF585A,5,6,0.76826338428769
ZNF616,4,7,0.374596412438554
ZNF665,7,4,0.544970612872589
ZNF678,6,5,1
ZNF680,6,5,1
ZNF713,3,8,0.13521411199991
ZNF728,8,3,0.222175943471449
ZNF780B,6,5,1
ZNF808,5,6,0.76826338428769
ZNF862,5,6,0.76826338428769
ZSCAN10,4,7,0.374596412438554
ZZZ3,4,7,0.374596412438554
A1CF,6,4,0.751802152475958
ABCC1,3,7,0.214356600207459
ABCC3,3,7,0.214356600207459
ACIN1,4,6,0.538047381421431
ACTB,6,4,0.751802152475958
ACTL9,6,4,0.751802152475958
ACTN3,6,4,0.751802152475958
ACTRT2,5,5,1
ACVRL1,6,4,0.751802152475958
ADAM28,6,4,0.751802152475958
ADAMTS13,4,6,0.538047381421431
ADAMTSL2,6,4,0.751802152475958
ADGRE3,6,4,0.751802152475958
ADGRE5,5,5,1
AGO3,3,7,0.214356600207459
AHR,3,7,0.214356600207459
AIM1,7,3,0.339555823253682
AJAP1,6,4,0.751802152475958
AKAP12,5,5,1
ANKEF1,5,5,1
ANKK1,5,5,1
ANKMY1,7,3,0.339555823253682
ANKRD7,5,5,1
ANO1,5,5,1
APOA4,2,8,0.0586701004644481
APOBR,5,5,1
ARHGAP19,3,7,0.214356600207459
ARHGAP20,3,7,0.214356600207459
ARHGAP24,6,4,0.751802152475958
ARHGAP30,2,8,0.0586701004644481
ASB15,4,6,0.538047381421431
ASB2,5,5,1
ATAD2,3,7,0.214356600207459
ATAD5,3,7,0.214356600207459
ATP1B4,3,7,0.214356600207459
ATP2A2,6,4,0.751802152475958
ATP2B4,6,4,0.751802152475958
ATP2C1,2,8,0.0586701004644481
ATXN1,4,6,0.538047381421431
B4GALNT4,4,6,0.538047381421431
BARD1,3,7,0.214356600207459
BBS7,5,5,1
BCAS1,5,5,1
BMP1,8,2,0.106399057383003
BMP10,4,6,0.538047381421431
BOC,4,6,0.538047381421431
BTBD11,5,5,1
BTBD9,4,6,0.538047381421431
C1orf101,4,6,0.538047381421431
C1orf141,7,3,0.339555823253682
C2CD5,3,7,0.214356600207459
CACHD1,5,5,1
CAND1,2,8,0.0586701004644481
CAPRIN1,4,6,0.538047381421431
CAPRIN2,5,5,1
CASKIN1,6,4,0.751802152475958
CATSPER1,3,7,0.214356600207459
CCDC148,5,5,1
CCDC63,3,7,0.214356600207459
CCDC7,3,7,0.214356600207459
CCDC85A,4,6,0.538047381421431
CD1D,6,4,0.751802152475958
CD200R1,4,6,0.538047381421431
CD244,5,5,1
CD86,1,9,0.00975903894726528
CD96,3,7,0.214356600207459
CDH13,6,4,0.751802152475958
CDH15,6,4,0.751802152475958
CECR2,4,6,0.538047381421431
CEP162,5,5,1
CFAP44,4,6,0.538047381421431
CHPF,3,7,0.214356600207459
CHRNB2,6,4,0.751802152475958
CHST2,3,7,0.214356600207459
CLCN4,6,4,0.751802152475958
CLEC9A,3,7,0.214356600207459
CLSPN,6,4,0.751802152475958
CLVS2,6,4,0.751802152475958
CNTRL,6,4,0.751802152475958
COL17A1,7,3,0.339555823253682
COL6A1,6,4,0.751802152475958
COLGALT2,6,4,0.751802152475958
CPA1,7,3,0.339555823253682
CPNE8,4,6,0.538047381421431
CPSF1,6,4,0.751802152475958
CPT1C,2,8,0.0586701004644481
CRNN,6,4,0.751802152475958
CRX,4,6,0.538047381421431
CSGALNACT2,6,4,0.751802152475958
CTC1,5,5,1
CTGLF11P,5,5,1
CUEDC1,2,8,0.0586701004644481
CWF19L2,6,4,0.751802152475958
CYFIP1,5,5,1
CYSLTR2,6,4,0.751802152475958
DBH,6,4,0.751802152475958
DCAF6,6,4,0.751802152475958
DDB1,3,7,0.214356600207459
DDHD1,3,7,0.214356600207459
DDX4,8,2,0.106399057383003
DENND2C,5,5,1
DHTKD1,6,4,0.751802152475958
DHX37,3,7,0.214356600207459
DHX8,4,6,0.538047381421431
DMRT3,4,6,0.538047381421431
DMRTB1,5,5,1
DOCK1,5,5,1
DPP4,5,5,1
DRD1,3,7,0.214356600207459
EHHADH,7,3,0.339555823253682
EHMT1,2,8,0.0586701004644481
ELSPBP1,4,6,0.538047381421431
EOMES,3,7,0.214356600207459
EPHA10,7,3,0.339555823253682
EXTL3,5,5,1
EZH2,4,6,0.538047381421431
F11,3,7,0.214356600207459
F2RL2,3,7,0.214356600207459
FAM129A,5,5,1
FAM91A1,2,8,0.0586701004644481
FANCI,4,6,0.538047381421431
FAR2,4,6,0.538047381421431
FBXO24,4,6,0.538047381421431
FBXO30,4,6,0.538047381421431
FBXO40,4,6,0.538047381421431
FBXW7,6,4,0.751802152475958
FCN2,8,2,0.106399057383003
FGF10,1,9,0.00975903894726528
FGF23,3,7,0.214356600207459
FH,6,4,0.751802152475958
FIGNL1,7,3,0.339555823253682
FILIP1,5,5,1
FLCN,7,3,0.339555823253682
FNBP4,2,8,0.0586701004644481
FPGT-TNNI3K,4,6,0.538047381421431
FSD1,2,8,0.0586701004644481
FTMT,4,6,0.538047381421431
GALNT3,5,5,1
GAN,5,5,1
GANAB,4,6,0.538047381421431
GC,7,3,0.339555823253682
GDF5,4,6,0.538047381421431
GIMAP8,3,7,0.214356600207459
GLTSCR1L,2,8,0.0586701004644481
GLUD2,2,8,0.0586701004644481
GOLGA2,7,3,0.339555823253682
GOLGA6B,5,5,1
GRB10,4,6,0.538047381421431
GRIP1,7,3,0.339555823253682
HAVCR2,4,6,0.538047381421431
HDAC6,5,5,1
HELZ2,1,9,0.00975903894726528
HERC5,3,7,0.214356600207459
HLX,3,7,0.214356600207459
HOXA13,3,7,0.214356600207459
HOXA5,6,4,0.751802152475958
HOXD10,5,5,1
HP1BP3,5,5,1
HPX,7,3,0.339555823253682
HSP90B1,4,6,0.538047381421431
HTR1F,4,6,0.538047381421431
HTR6,6,4,0.751802152475958
IFI44,5,5,1
IGHMBP2,2,8,0.0586701004644481
IGHV1OR15-9,4,6,0.538047381421431
IGHV3OR16-8,4,6,0.538047381421431
IGKV3D-20,5,5,1
INTS2,5,5,1
IQSEC3,4,6,0.538047381421431
IRF4,7,3,0.339555823253682
IRF6,5,5,1
IRF8,6,4,0.751802152475958
ITGA10,2,8,0.0586701004644481
ITGA2B,4,6,0.538047381421431
ITGB6,3,7,0.214356600207459
JADE3,3,7,0.214356600207459
KCNJ16,3,7,0.214356600207459
KCNJ5,4,6,0.538047381421431
KCNMB1,4,6,0.538047381421431
KCNQ5,4,6,0.538047381421431
KCNV1,4,6,0.538047381421431
KCTD19,5,5,1
KDELC1,3,7,0.214356600207459
KDM6A,2,8,0.0586701004644481
KHDC3L,6,4,0.751802152475958
KHDRBS2,5,5,1
KIAA0226L,7,3,0.339555823253682
KIAA0319,4,6,0.538047381421431
KIAA0319L,5,5,1
KIAA0586,5,5,1
KIAA1217,7,3,0.339555823253682
KIAA1715,6,4,0.751802152475958
KIAA1958,2,8,0.0586701004644481
KIAA2018,3,7,0.214356600207459
KIF5C,6,4,0.751802152475958
KIN,5,5,1
KIR3DX1,2,8,0.0586701004644481
KLHL5,3,7,0.214356600207459
KLK2,6,4,0.751802152475958
KMT2E,6,4,0.751802152475958
KRT1,5,5,1
KRT31,1,9,0.00975903894726528
KRT6A,4,6,0.538047381421431
KRT72,3,7,0.214356600207459
KRT74,3,7,0.214356600207459
KRTAP10-4,4,6,0.538047381421431
KTN1,4,6,0.538047381421431
L3MBTL1,5,5,1
LAD1,4,6,0.538047381421431
LAMC2,6,4,0.751802152475958
LCE1F,4,6,0.538047381421431
LHCGR,4,6,0.538047381421431
LILRA6,4,6,0.538047381421431
LINS,7,3,0.339555823253682
LLGL2,2,8,0.0586701004644481
LMTK2,6,4,0.751802152475958
LPP,5,5,1
LRP5,3,7,0.214356600207459
LRRC6,4,6,0.538047381421431
LY9,6,4,0.751802152475958
MAGEA10,7,3,0.339555823253682
MAGEA8,4,6,0.538047381421431
MAGEB3,4,6,0.538047381421431
MAGED1,5,5,1
MALT1,5,5,1
MANBA,5,5,1
MAP3K13,5,5,1
MAP3K5,6,4,0.751802152475958
MAPKBP1,3,7,0.214356600207459
MARCH4,4,6,0.538047381421431
MAST4,4,6,0.538047381421431
MBL2,4,6,0.538047381421431
MCM3AP,3,7,0.214356600207459
MDM1,3,7,0.214356600207459
MED16,3,7,0.214356600207459
MEIS1,1,9,0.00975903894726528
MERTK,6,4,0.751802152475958
MMP10,4,6,0.538047381421431
MOCOS,3,7,0.214356600207459
MROH5,6,4,0.751802152475958
MROH8,4,6,0.538047381421431
MTHFD1L,4,6,0.538047381421431
MTNR1B,4,6,0.538047381421431
MTTP,4,6,0.538047381421431
MYBL2,6,4,0.751802152475958
MYF5,4,6,0.538047381421431
MYF6,4,6,0.538047381421431
MYLK2,6,4,0.751802152475958
MYLK3,5,5,1
MYO1B,3,7,0.214356600207459
NBEAL2,5,5,1
NCAPG2,6,4,0.751802152475958
NLGN3,3,7,0.214356600207459
NOS3,4,6,0.538047381421431
NOTCH3,5,5,1
NOX5,4,6,0.538047381421431
NPNT,3,7,0.214356600207459
NR3C1,6,4,0.751802152475958
NRSN1,4,6,0.538047381421431
NUP155,3,7,0.214356600207459
NWD1,4,6,0.538047381421431
NXF1,5,5,1
NXPE4,6,4,0.751802152475958
NXPH2,6,4,0.751802152475958
OCRL,5,5,1
OPRM1,5,5,1
OR10V1,5,5,1
OR13C2,7,3,0.339555823253682
OR13C8,3,7,0.214356600207459
OR1L8,8,2,0.106399057383003
OR1S2,7,3,0.339555823253682
OR2T8,5,5,1
OR2V2,4,6,0.538047381421431
OR4B1,7,3,0.339555823253682
OR4C11,2,8,0.0586701004644481
OR4D9,5,5,1
OR4E2,6,4,0.751802152475958
OR4K14,5,5,1
OR51A4,4,6,0.538047381421431
OR51G1,4,6,0.538047381421431
OR52A5,3,7,0.214356600207459
OR52J3,5,5,1
OR52N4,5,5,1
OR5B17,6,4,0.751802152475958
OR5H1,4,6,0.538047381421431
OR5H15,6,4,0.751802152475958
OR5K1,4,6,0.538047381421431
OR5M1,3,7,0.214356600207459
OR5M8,2,8,0.0586701004644481
OR5M9,5,5,1
OR6A2,3,7,0.214356600207459
OR8D1,5,5,1
OR8D2,4,6,0.538047381421431
OR9A2,3,7,0.214356600207459
OTUD7B,6,4,0.751802152475958
OXR1,2,8,0.0586701004644481
PADI4,6,4,0.751802152475958
PAPD7,2,8,0.0586701004644481
PAX1,3,7,0.214356600207459
PAX2,7,3,0.339555823253682
PBXIP1,4,6,0.538047381421431
PCDH12,6,4,0.751802152475958
PCM1,3,7,0.214356600207459
PDE1B,4,6,0.538047381421431
PDIA4,4,6,0.538047381421431
PGLYRP2,6,4,0.751802152475958
PIK3CB,7,3,0.339555823253682
PIWIL2,3,7,0.214356600207459
PIWIL3,4,6,0.538047381421431
PKDREJ,5,5,1
PKLR,7,3,0.339555823253682
PLAT,4,6,0.538047381421431
PLCB2,7,3,0.339555823253682
